timestamp,ticker,name,value,as_on_date,fetched_at,status,note
2026-05-14 23:55:35,BSE_INDIA_MCAP,All India Market Cap,,,2026-05-14 23:55:35,ERROR,All extraction strategies failed (page structure may have changed)
2026-05-14 23:57:55,BSE_INDIA_MCAP,All India Market Cap,,,2026-05-14 23:57:55,ERROR,All extraction strategies failed (page structure may have changed)
2026-05-15 04:59:48,BSE_INDIA_MCAP,All India Market Cap,,,2026-05-15 04:59:48,ERROR,All extraction strategies failed (page structure may have changed)
