timestamp_ist,score,max_available,score_pct,regime,equity_pct,pending_manual,stale_count
2026-05-15 12:03:54,11,37,29.73,FREEZE,25,13,0
2026-05-15 12:05:34,11,37,29.73,FREEZE,25,13,0
2026-05-15 14:47:09,11,37,29.73,FREEZE,25,13,0
2026-05-15 15:06:15,11,37,29.73,FREEZE,25,13,0
2026-05-15 17:01:23,13,40,32.5,FREEZE,25,12,0
2026-05-15 17:03:10,13,40,32.5,FREEZE,25,12,0
2026-05-15 17:06:43,13,40,32.5,FREEZE,25,12,0
2026-05-15 18:47:37,13,50,26.0,FREEZE,25,11,0
2026-05-15 19:55:37,45,100,45.0,ACTIVE,55,0,0
